Date,Price,Open,High,Low,Vol.,Change %
12/1/2017,19753,19621,19951,19026,432.09K,1.01%
12/4/2017,20612,20348,20744,20149,476.28K,4.35%
12/5/2017,21008,20612,21801,20017,923.95K,1.92%
12/6/2017,22065,21008,22462,20876,747.13K,5.03%
12/7/2017,23585,22462,23585,22462,808.92K,6.89%
12/8/2017,25203,24774,25203,24444,700.26K,6.86%
12/11/2017,26426,25104,26954,24312,810.08K,4.85%
12/12/2017,28275,27086,28275,27020,943.84K,7.00%
12/13/2017,30224,29927,30224,29861,707.93K,6.89%
12/14/2017,32338,32173,32338,31711,596.41K,6.99%
12/15/2017,30092,34287,34551,30092,882.10K,-6.95%
12/18/2017,28011,28011,28011,28011,20.24K,-6.92%
12/19/2017,26062,26062,26062,26062,31.65K,-6.96%
12/20/2017,24245,24245,24774,24245,1.18M,-6.97%
12/21/2017,22561,22561,22561,22561,377.94K,-6.95%
12/22/2017,21008,21008,21008,21008,105.34K,-6.88%
12/25/2017,22462,19555,22462,19555,1.40M,6.92%
12/26/2017,20909,23453,23981,20909,834.03K,-6.91%
12/27/2017,19456,19456,19456,19456,302.45K,-6.95%
12/28/2017,18366,18168,19687,18102,1.33M,-5.60%
12/29/2017,19159,18498,19489,18168,637.75K,4.32%
1/2/2018,18696,19291,19489,18300,494.48K,-2.41%
1/3/2018,19555,18696,19984,18696,907.28K,4.59%
1/4/2018,19753,19555,20083,19225,390.27K,1.01%
1/5/2018,19092,19489,19654,19092,297.87K,-3.34%
1/8/2018,18498,18696,19059,18300,582.78K,-3.11%
1/9/2018,18630,18630,19026,18498,469.83K,0.71%
1/10/2018,18498,18762,18762,18366,432.47K,-0.71%
1/11/2018,18861,18498,18960,18234,358.89K,1.96%
1/12/2018,19026,18861,19753,18861,390.38K,0.88%
1/15/2018,19026,19026,19489,18762,168.81K,0.00%
1/16/2018,18564,19026,19026,18564,212.75K,-2.43%
1/17/2018,18201,18564,18696,18201,339.16K,-1.96%
1/18/2018,18300,17837,18300,17837,198.33K,0.54%
1/19/2018,17771,18399,18564,17639,227.90K,-2.89%
1/22/2018,16549,16582,17177,16549,1.00M,-6.88%
1/25/2018,17705,17705,17705,17705,143.77K,6.99%
1/26/2018,18927,18927,18927,18630,770.50K,6.90%
1/29/2018,18960,19225,19291,18894,341.65K,0.17%
1/30/2018,20282,19159,20282,18960,496.87K,6.97%
1/31/2018,19819,20480,21405,19819,704.85K,-2.28%
2/1/2018,19687,20149,20480,19687,178.31K,-0.67%
2/2/2018,18894,19291,19621,18894,105.39K,-4.03%
2/5/2018,17837,18366,18828,17837,742.67K,-5.59%
2/6/2018,18498,17045,19059,16846,861.82K,3.70%
2/7/2018,18762,18498,19159,18498,81.47K,1.43%
2/8/2018,17705,18762,18762,17474,113.63K,-5.63%
2/9/2018,17309,17045,17771,16912,124.53K,-2.24%
2/12/2018,18168,17375,18432,17375,41.61K,4.96%
2/13/2018,18498,18234,18828,18135,91.79K,1.82%
2/21/2018,18102,18498,18498,17639,369.82K,-2.14%
2/22/2018,17672,18102,18102,17474,110.55K,-2.37%
2/23/2018,17375,17672,17903,17375,103.88K,-1.68%
2/26/2018,17177,17375,17705,16516,360.69K,-1.14%
