Date,Price,Open,High,Low,Vol.,Change %
12/1/2017,61653,61570,62314,60992,1.17M,0.13%
12/4/2017,62893,62066,63802,61570,2.08M,2.01%
12/5/2017,60331,63636,64876,58512,4.46M,-4.07%
12/6/2017,60331,60826,60826,57769,3.24M,0.00%
12/7/2017,59504,59917,60992,58678,1.22M,-1.37%
12/8/2017,60331,58843,60744,57438,2.14M,1.39%
12/11/2017,59504,59504,60496,58678,1.28M,-1.37%
12/12/2017,58843,60331,60413,57025,1.38M,-1.11%
12/13/2017,59504,59091,59669,58595,662.60K,1.12%
12/14/2017,59504,59421,59917,58678,577.42K,0.00%
12/15/2017,58017,58430,59256,57934,5.06M,-2.50%
12/18/2017,61157,59008,61157,59008,1.45M,5.41%
12/19/2017,60744,61653,62397,60578,1.22M,-0.68%
12/20/2017,60744,60578,61074,59835,1.82M,0.00%
12/21/2017,60331,61074,62397,60331,2.08M,-0.68%
12/22/2017,62479,60909,62479,60661,2.73M,3.56%
12/25/2017,64463,62810,64463,62645,1.69M,3.18%
12/26/2017,64463,64711,65289,64297,2.79M,0.00%
12/27/2017,63802,64463,65289,63388,3.54M,-1.03%
12/28/2017,63967,64050,64876,63967,1.34M,0.26%
12/29/2017,63884,64132,66033,63636,2.55M,-0.13%
1/2/2018,64628,64132,64876,63967,1.74M,1.16%
1/3/2018,66529,65702,68760,64959,6.07M,2.94%
1/4/2018,66942,67355,68678,66529,3.55M,0.62%
1/5/2018,66116,66942,66942,65289,3.42M,-1.23%
1/8/2018,66364,66116,67686,65372,4.81M,0.38%
1/9/2018,66612,66859,68182,66116,3.97M,0.37%
1/10/2018,66777,66942,68017,66612,4.27M,0.25%
1/11/2018,66942,66777,67934,66198,3.91M,0.25%
1/12/2018,70578,67355,71322,67190,6.83M,5.43%
1/15/2018,72066,71405,73388,71157,4.83M,2.11%
1/16/2018,71074,72066,72314,70248,4.88M,-1.38%
1/17/2018,69421,71074,71736,68595,4.43M,-2.33%
1/18/2018,69752,68595,69752,66529,3.05M,0.48%
1/19/2018,69421,70248,71240,69421,5.50M,-0.47%
1/22/2018,70248,69835,70744,69421,2.39M,1.19%
1/25/2018,70331,70248,73967,70248,7.86M,0.12%
1/26/2018,70661,71074,71488,70165,2.27M,0.47%
1/29/2018,70661,71074,72149,70413,1.99M,0.00%
1/30/2018,70248,70661,70909,69008,3.06M,-0.58%
1/31/2018,71074,70661,73058,70331,6.25M,1.18%
2/1/2018,71570,72314,72562,70248,2.96M,0.70%
2/2/2018,72066,71488,73140,71488,5.01M,0.69%
2/5/2018,67025,70578,71074,67025,3.13M,-6.99%
2/6/2018,67025,62397,67025,62397,7.76M,0.00%
2/7/2018,66942,67769,68512,66942,1.90M,-0.12%
2/8/2018,65289,66116,66942,65289,1.25M,-2.47%
2/9/2018,64628,62810,64959,61570,1.83M,-1.01%
2/12/2018,69091,65289,69091,65289,1.70M,6.91%
2/13/2018,71157,70248,71901,69421,1.65M,2.99%
2/21/2018,74380,72645,76033,72149,3.67M,4.53%
2/22/2018,74793,74380,76033,73636,2.49M,0.56%
2/23/2018,75702,75207,76033,75207,1.59M,1.22%
2/26/2018,78512,76033,79752,76033,3.22M,3.71%
2/27/2018,77273,79752,80083,76446,2.80M,-1.58%
2/28/2018,78430,76281,78595,76281,2.00M,1.50%
3/1/2018,77686,78017,79174,77107,1.49M,-0.95%
3/2/2018,78099,76033,78926,76033,1.06M,0.53%
3/5/2018,77686,78512,82314,77686,2.37M,-0.53%
3/6/2018,81405,79339,81405,77686,1.89M,4.79%
3/7/2018,81488,81405,82645,79752,1.88M,0.10%
3/8/2018,85289,80992,86281,80909,3.02M,4.66%
3/9/2018,85537,85289,87603,82645,3.86M,0.29%
3/12/2018,82645,85124,86033,82397,5.03M,-3.38%
3/13/2018,84793,82645,85041,82562,1.65M,2.60%
3/14/2018,84711,84711,86694,84711,2.48M,-0.10%
3/15/2018,82231,85041,85041,82231,3.37M,-2.93%
3/16/2018,82397,82149,83471,82149,3.74M,0.20%
3/19/2018,86281,82810,86777,82810,1.45M,4.71%
3/20/2018,86116,85124,87190,85124,1.27M,-0.19%
3/21/2018,89256,86694,89752,86364,4.26M,3.65%
3/22/2018,89256,90083,91488,89256,2.74M,0.00%
3/23/2018,90496,87273,91901,87190,4.18M,1.39%
3/26/2018,94050,90909,96777,89669,5.67M,3.93%
3/27/2018,93388,96694,97355,93306,3.81M,-0.70%
3/28/2018,94628,93388,95868,92727,1.76M,1.33%
3/29/2018,95041,94628,95455,93802,1.91M,0.44%
3/30/2018,96859,95124,96859,94215,2.10M,1.91%
4/2/2018,101653,98099,102893,97521,2.97M,4.95%
4/3/2018,101074,100992,101653,99835,2.92M,-0.57%
4/4/2018,105372,101653,106529,101653,2.35M,4.25%
4/5/2018,108264,109091,109917,107190,3.86M,2.74%
4/6/2018,109421,107438,109504,107190,2.36M,1.07%
4/9/2018,111488,111570,111983,109917,3.88M,1.89%
4/10/2018,108264,111570,113058,108264,5.44M,-2.89%
4/11/2018,104132,108760,110331,102479,3.89M,-3.82%
4/12/2018,104959,102479,105620,100331,4.35M,0.79%
4/13/2018,105455,105785,107934,104959,2.53M,0.47%
4/16/2018,106364,105785,106777,102893,2.04M,0.86%
4/17/2018,107438,107438,109091,105372,2.79M,1.01%
4/18/2018,107355,108264,109091,107355,2.79M,-0.08%
4/19/2018,99917,106281,106612,99917,6.67M,-6.93%
4/20/2018,101653,99917,102893,94132,5.04M,1.74%
4/23/2018,101818,102479,103967,101488,5.85M,0.16%
4/24/2018,104959,99174,105455,97686,10.55M,3.08%
4/26/2018,104959,104793,104959,101570,7.79M,0.00%
4/27/2018,104132,101405,104545,100826,3.65M,-0.79%
5/2/2018,103306,104132,104132,99174,6.30M,-0.79%
5/3/2018,101653,101653,104215,100826,5.72M,-1.60%
5/4/2018,102893,100496,103388,99174,3.89M,1.22%
5/7/2018,102975,102066,103306,102066,1.28M,0.08%
5/8/2018,102397,102975,103223,101818,1.53M,-0.56%
5/9/2018,101570,101322,101818,100661,2.04M,-0.81%
5/10/2018,99587,101488,101488,99174,2.16M,-1.95%
5/11/2018,102479,99256,102479,98347,1.63M,2.90%
5/14/2018,109091,103306,109091,103306,2.86M,6.45%
5/15/2018,109091,110661,111405,109091,2.07M,0.00%
5/16/2018,107438,109091,109091,105785,1.06M,-1.52%
5/17/2018,101653,107438,107438,101240,2.14M,-5.38%
5/18/2018,101653,100826,103306,99587,1.84M,0.00%
5/21/2018,94545,101653,101653,94545,2.73M,-6.99%
5/22/2018,87934,91570,94215,87934,3.13M,-6.99%
5/23/2018,85124,83554,87851,81818,2.86M,-3.20%
5/24/2018,86033,85124,86777,83636,3.67M,1.07%
5/25/2018,88430,86033,91405,82645,3.21M,2.79%
5/28/2018,91736,84959,91736,84711,3.82M,3.74%
5/29/2018,90909,87851,92149,87686,2.06M,-0.90%
5/30/2018,91736,90992,93802,87521,2.21M,0.91%
5/31/2018,95868,92397,96694,90083,6.74M,4.50%
6/1/2018,98347,95372,99174,94215,5.12M,2.59%
6/4/2018,99174,98347,99256,97934,1.09M,0.84%
6/5/2018,100083,99174,101240,98016,1.21M,0.92%
6/6/2018,102562,99174,102810,97273,2.48M,2.48%
6/7/2018,102645,103223,103636,101818,1.79M,0.08%
6/8/2018,102645,101818,103140,100826,1.09M,0.00%
6/11/2018,102727,102479,103388,101240,1.74M,0.08%
6/12/2018,102810,99174,102975,99174,2.52M,0.08%
6/13/2018,105785,100826,105785,100826,2.21M,2.89%
6/14/2018,104132,106446,106446,103306,1.91M,-1.56%
6/15/2018,102066,104132,104793,102066,5.77M,-1.98%
6/18/2018,101983,102066,104050,101240,1.71M,-0.08%
6/19/2018,101653,100413,101983,96694,2.45M,-0.32%
6/20/2018,103306,101653,103306,100826,1.06M,1.63%
6/21/2018,102479,103306,103719,100992,2.06M,-0.80%
6/22/2018,101488,103223,103223,101488,558.56K,-0.97%
6/25/2018,102231,103306,103306,101653,680.81K,0.73%
6/26/2018,102149,100000,102397,99587,922.41K,-0.08%
6/27/2018,103471,102149,103967,101653,1.43M,1.29%
6/28/2018,107500,105000,110700,105000,1.19M,3.89%
6/29/2018,107500,105100,107800,105100,2.97M,0.00%
7/2/2018,107200,106000,108500,106000,953.20K,-0.28%
7/3/2018,99700,106000,107000,99700,3.21M,-7.00%
7/4/2018,105000,99500,106200,97000,1.97M,5.32%
7/5/2018,106500,104000,107300,103000,1.42M,1.43%
7/6/2018,106200,104100,106900,101800,1.43M,-0.28%
7/9/2018,105000,106000,107300,104500,701.99K,-1.13%
7/10/2018,103000,105000,106500,102500,795.03K,-1.90%
7/11/2018,104500,101000,104500,100000,840.12K,1.46%
7/12/2018,103000,104900,104900,101000,357.71K,-1.44%
7/13/2018,103000,104200,104200,102000,564.04K,0.00%
7/16/2018,102500,103500,103500,101000,1.07M,-0.49%
