Date,Price,Open,High,Low,Vol.,Change %
12/1/2017,5100,5200,5200,4900,42.50K,-1.92%
12/4/2017,5800,5100,5800,5100,574.50K,13.73%
12/5/2017,5700,6000,6000,5600,218.50K,-1.72%
12/6/2017,5800,5800,5800,5700,176.41K,1.75%
12/7/2017,6300,5800,6400,5600,307.82K,8.62%
12/8/2017,6700,6300,6900,6300,334.30K,6.35%
12/11/2017,6600,7200,7200,6500,152.71K,-1.49%
12/12/2017,6000,6500,6500,5800,293.00K,-9.09%
12/13/2017,6100,6000,6100,5800,73.20K,1.67%
12/14/2017,6500,6200,6500,6200,35.61K,6.56%
12/15/2017,6300,6500,6600,6300,145.71K,-3.08%
12/18/2017,6100,6300,6300,6000,71.10K,-3.17%
12/19/2017,6200,6200,6200,6000,58.20K,1.64%
12/20/2017,6200,6200,6200,6100,54.00K,0.00%
12/21/2017,6100,6100,6200,6100,123.00K,-1.61%
12/22/2017,6100,6000,6100,6000,60.40K,0.00%
12/25/2017,6000,6100,6200,6000,41.70K,-1.64%
12/26/2017,6000,6100,6100,6000,69.60K,0.00%
12/27/2017,6200,6000,6200,6000,50.20K,3.33%
12/28/2017,6600,6400,6600,6200,67.30K,6.45%
12/29/2017,7100,6600,7200,6600,133.71K,7.58%
1/2/2018,6800,7000,7300,6500,108.70K,-4.23%
1/3/2018,6700,7000,7000,6600,29.30K,-1.47%
1/4/2018,6700,6600,6800,6500,65.10K,0.00%
1/5/2018,6500,6600,6700,6500,30.50K,-2.99%
1/8/2018,6300,6800,6800,6300,32.10K,-3.08%
1/9/2018,6400,6400,6400,6200,68.30K,1.59%
1/10/2018,6400,6400,6500,6200,122.80K,0.00%
1/11/2018,6400,6800,6800,6300,25.10K,0.00%
1/12/2018,6500,6300,6500,6200,20.60K,1.56%
1/15/2018,6300,6300,6300,6300,17.60K,-3.08%
1/16/2018,6600,6400,6800,6400,81.40K,4.76%
1/17/2018,6400,6700,6700,6400,41.71K,-3.03%
1/18/2018,6500,6500,6500,6300,9.20K,1.56%
1/19/2018,6400,6300,6500,6300,47.40K,-1.54%
1/22/2018,6500,6500,6600,6500,153.90K,1.56%
1/23/2018,7000,6500,7100,6500,411.51K,7.69%
1/24/2018,7400,7300,7700,7300,241.50K,5.71%
1/25/2018,7300,7200,7400,7000,132.10K,-1.35%
1/26/2018,7000,7100,7100,6800,174.10K,-4.11%
1/29/2018,6900,6900,6900,6800,96.71K,-1.43%
1/30/2018,7100,6900,7100,6900,51.01K,2.90%
1/31/2018,7000,7000,7000,6900,85.00K,-1.41%
2/1/2018,6700,6900,7100,6500,158.20K,-4.29%
2/2/2018,6400,6600,6600,6400,12.80K,-4.48%
2/5/2018,5600,6500,6500,5600,115.60K,-12.50%
2/6/2018,5300,6000,6000,5100,168.80K,-5.36%
2/7/2018,6000,6000,6000,5500,56.20K,13.21%
2/8/2018,5900,5500,5900,5500,13.31K,-1.67%
2/9/2018,5600,5600,5600,5300,50.00K,-5.08%
2/12/2018,5600,5600,5700,5500,15.10K,0.00%
2/13/2018,5900,5700,6000,5700,31.80K,5.36%
2/21/2018,6000,6000,6000,5900,14.40K,1.69%
2/22/2018,6000,6000,6100,6000,24.50K,0.00%
2/23/2018,5600,5700,5800,5600,64.20K,-6.67%
2/26/2018,5800,6000,6000,5700,27.30K,3.57%
2/27/2018,5700,5800,5900,5400,57.30K,-1.72%
2/28/2018,5500,5900,5900,5400,60.70K,-3.51%
3/1/2018,5200,5500,5600,5200,93.70K,-5.45%
3/2/2018,5600,5300,5600,5300,35.70K,7.69%
3/5/2018,5500,5500,5700,5500,16.20K,-1.79%
3/6/2018,5500,5400,5500,5200,46.40K,0.00%
3/7/2018,5500,5500,5600,5400,61.10K,0.00%
3/8/2018,5500,5500,5500,5500,89.60K,0.00%
3/9/2018,5700,5500,5700,5400,122.90K,3.64%
3/12/2018,5500,5500,5500,5500,19.01K,-3.51%
3/13/2018,5500,5400,5600,5400,32.70K,0.00%
3/14/2018,5500,5600,5600,5500,72.00K,0.00%
3/15/2018,5600,5400,5600,5400,69.81K,1.82%
3/16/2018,5400,5500,5500,5400,23.40K,-3.57%
3/19/2018,5400,5500,5500,5400,11.50K,0.00%
3/20/2018,5400,5500,5600,5200,46.20K,0.00%
3/21/2018,5500,5400,5500,5400,19.50K,1.85%
